Country,1900,1910,1920,1930,1940
Ukraine,3,6,7,4,6
Mexico,7,2,1,4,10
China,4,9,5,6,4
France,5,2,7,10,3
Croatia,6,6,10,8,6
China,1,9,4,2,7
Poland,1,3,9,5,9
Thailand,8,6,4,1,8
Portugal,5,9,4,10,4
Sweden,5,4,5,1,7
Hong Kong,4,5,9,4,3
Panama,10,7,1,10,8
Poland,6,6,6,3,10
Russia,7,3,4,10,2
Philippines,8,8,10,7,1
Kenya,2,9,8,3,1
Russia,5,1,7,2,7
Tunisia,3,7,6,9,6
China,2,10,3,10,10
Finland,4,4,1,2,8
El Salvador,3,9,1,9,8
Tajikistan,8,7,9,7,9
United States,10,1,1,2,7
Comoros,9,7,5,4,5
Oman,4,4,1,10,7
Czech Republic,7,10,1,1,6
Brazil,10,10,1,2,9
Indonesia,3,6,10,10,9
Brazil,1,10,1,2,5
Israel,4,3,4,1,4
China,8,2,4,3,3
Indonesia,2,10,6,1,3
China,8,3,3,2,7
Mexico,10,9,5,8,8
China,9,2,4,3,1
Thailand,2,4,3,9,10
China,5,1,8,6,3
Austria,5,8,8,8,5
Thailand,7,3,7,1,6
United States,4,2,7,9,2
China,5,4,5,2,6
Bosnia and Herzegovina,1,6,8,7,2
Thailand,6,6,9,4,4
China,3,5,10,1,9
Canada,10,1,4,9,5
Russia,6,4,1,10,2
Sweden,1,2,10,4,8
United States,2,4,6,2,9
Peru,2,3,4,9,10
China,5,9,2,2,4
Cameroon,7,2,6,6,9
Dominican Republic,10,9,10,4,9
Russia,10,10,8,9,10
Indonesia,7,4,7,7,8
United States,1,1,4,2,2
Colombia,7,4,6,9,10
Armenia,7,9,6,9,4
Japan,7,5,9,7,3
China,7,4,10,3,4
Indonesia,4,3,5,10,9
Palestinian Territory,9,9,5,8,2
Russia,7,1,6,5,6
China,10,1,10,1,1
Albania,6,3,10,7,2
Indonesia,6,2,4,8,8
China,6,6,4,1,2
China,7,8,1,8,5
China,4,5,4,5,5
Iran,6,10,9,8,3
Syria,7,5,6,1,10
Uganda,6,7,2,10,9
China,7,8,10,10,9
Botswana,3,10,9,3,1
Vietnam,1,9,2,6,4
China,3,4,7,6,7
Ghana,7,5,10,8,3
France,2,9,7,10,10
South Korea,9,4,7,4,5
Palestinian Territory,6,8,7,10,10
Brazil,6,2,3,4,1
China,4,3,3,7,8
Indonesia,1,5,3,4,10
Indonesia,10,5,10,1,5
Peru,7,9,5,5,10
Russia,9,8,10,1,6
Thailand,9,4,5,7,4
Ukraine,4,6,2,10,8
Poland,10,8,5,10,7
Norway,5,4,5,9,10
Mauritius,5,4,3,5,8
Russia,3,1,9,10,2
Tanzania,7,1,6,5,3
Afghanistan,1,8,5,4,4
China,3,5,4,5,7
Colombia,3,7,2,4,1
China,1,8,7,1,3
Indonesia,5,10,2,4,2
Russia,7,3,8,3,10
Afghanistan,4,10,7,7,10
China,9,10,7,8,1
Japan,4,5,3,10,8
Mauritius,6,4,6,3,9
Nigeria,5,9,10,5,9
Sierra Leone,2,1,2,8,5
Guatemala,2,3,10,9,5
China,10,5,1,4,8
Poland,9,1,3,10,8
Ukraine,7,10,3,3,4
France,1,4,4,1,5
Philippines,2,2,5,7,7
Brazil,5,8,5,5,2
Bosnia and Herzegovina,4,3,1,9,9
Dominican Republic,2,1,10,2,4
Indonesia,3,9,3,1,4
Democratic Republic of the Congo,7,7,3,10,1
Ecuador,3,4,8,4,3
Indonesia,9,8,10,10,10
Poland,8,5,7,6,1
China,10,7,3,5,3
Japan,2,8,10,10,7
Russia,5,2,3,6,6
Malaysia,7,1,6,10,8
Mali,7,5,8,1,9
Indonesia,9,7,2,7,4
China,9,9,9,5,3
China,6,1,2,10,3
China,10,10,3,10,3
Ireland,1,3,4,8,1
Belarus,10,1,2,9,4
Greece,8,6,3,9,3
China,9,1,9,9,2
Japan,3,6,6,5,2
Poland,8,9,10,10,8
Sweden,7,7,5,6,6
Qatar,6,6,1,7,3
China,5,4,1,3,7
Mexico,6,9,3,10,3
France,4,4,10,8,5
Bolivia,10,9,4,8,5
Brazil,2,5,3,9,1
Poland,9,6,3,2,4
Egypt,4,6,6,4,5
Kyrgyzstan,10,10,8,5,4
Syria,8,6,7,6,4
China,10,2,9,8,7
Portugal,9,8,10,1,9
Yemen,2,5,1,1,10
China,10,7,1,10,6
China,7,10,2,2,10
Egypt,8,5,9,8,6
Russia,10,7,9,9,1
Albania,2,7,6,1,4
Russia,2,10,4,3,7
China,6,8,5,10,1
Honduras,3,9,2,1,5
Mexico,2,3,8,9,9
Mongolia,4,4,10,9,10
Indonesia,6,1,2,9,8
China,9,9,3,3,10
China,5,8,3,9,4
China,8,6,10,3,8
Indonesia,10,9,8,8,6
Portugal,5,8,7,2,5
China,2,6,10,4,5
Sudan,7,2,1,4,1
Indonesia,1,2,10,9,1
Yemen,8,3,2,9,6
Russia,5,4,10,9,7
Argentina,1,1,2,2,4
Colombia,4,9,9,7,5
Venezuela,5,4,5,4,9
Uganda,4,1,3,7,6
Philippines,4,8,7,7,9
France,5,4,3,7,7
Philippines,7,5,4,7,1
China,8,5,8,2,7
Armenia,9,5,7,2,5
Philippines,8,4,10,3,4
Serbia,4,5,7,2,4
Thailand,8,9,10,6,4
Cuba,6,2,2,10,4
Honduras,10,3,9,8,4
Ukraine,10,7,1,8,2
Japan,1,6,3,4,9
China,8,4,6,9,8
Mali,10,4,5,8,2
Czech Republic,3,2,1,9,3
Indonesia,5,6,1,1,1
Tajikistan,9,4,8,6,10
Vietnam,1,1,3,7,3
Honduras,1,3,6,4,6
Peru,5,10,4,9,10
Yemen,4,7,2,2,1
China,5,1,9,1,7
China,8,9,7,5,7
Poland,1,1,7,8,6
Philippines,8,5,6,5,9
China,2,1,3,8,8
China,4,6,6,8,6
Philippines,6,10,9,9,7
Indonesia,2,6,7,8,4
Sweden,5,9,9,4,4
United States,6,2,8,8,6
Brazil,4,10,8,7,2
Colombia,3,8,2,5,6
China,6,8,4,4,2
Indonesia,2,1,9,2,1
Portugal,5,1,5,3,2
Belarus,1,7,9,8,7
Indonesia,2,3,9,8,10
Armenia,3,4,6,4,5
China,5,5,1,7,8
Cuba,1,8,7,8,6
Indonesia,10,10,7,1,4
South Korea,3,3,5,10,7
Ukraine,5,7,8,2,5
South Africa,1,7,2,7,7
Mexico,9,3,9,6,4
Portugal,5,6,5,3,5
China,5,8,4,6,6
China,9,7,5,5,5
China,7,2,10,9,3
Russia,5,10,6,10,10
Ukraine,8,5,9,4,5
Philippines,3,6,8,6,2
China,4,9,4,8,5
Brazil,1,5,4,7,6
Philippines,5,10,3,4,8
China,6,6,10,8,2
Guyana,3,8,7,9,9
Portugal,5,10,1,8,3
Thailand,4,1,10,2,1
Madagascar,3,9,7,3,2
Indonesia,6,4,7,9,2
China,2,1,3,7,2
Sweden,3,2,10,7,3
Russia,4,2,7,4,4
Portugal,7,8,4,3,10
Albania,9,9,8,10,4
Peru,6,10,1,6,10
Kazakhstan,2,9,7,6,1
Tajikistan,1,3,2,2,9
Russia,4,9,3,10,4
China,4,4,4,4,9
Mexico,8,8,10,4,3
Philippines,7,9,8,10,7
Philippines,2,1,2,9,4
Poland,5,4,10,4,9
Indonesia,3,2,3,5,8
Botswana,10,10,1,9,5
Greece,8,4,6,1,8
Philippines,7,8,5,10,1
United States,3,7,7,6,9
Philippines,7,10,8,4,8
Indonesia,3,4,8,6,8
Colombia,4,8,8,3,5
Indonesia,6,3,1,7,10
China,1,3,1,5,6
Ukraine,7,9,10,6,3
Indonesia,2,7,4,9,3
Indonesia,7,3,8,5,2
Sweden,2,2,4,3,9
Indonesia,2,8,3,6,1
Portugal,1,8,7,3,6
United States,6,7,4,8,9
Indonesia,10,4,10,2,7
Sweden,5,7,2,7,6
Brazil,4,1,4,7,3
Nigeria,3,4,2,7,9
China,8,5,10,10,6
Philippines,7,3,3,2,5
Brazil,3,5,10,5,10
Indonesia,7,5,6,4,10
Portugal,8,10,7,6,5
China,6,9,3,1,7
Philippines,9,1,8,3,3
Indonesia,9,1,9,1,3
Argentina,5,6,9,1,4
Finland,2,2,1,5,6
China,10,2,6,8,7
Indonesia,8,10,10,7,5
China,2,1,5,9,3
Japan,7,7,10,8,1
Dominican Republic,5,8,9,9,7
Mexico,1,3,10,1,8
Indonesia,9,1,5,9,1
Indonesia,4,2,3,5,7
Philippines,8,6,6,2,4
Bulgaria,10,5,10,10,9
Argentina,2,5,2,7,1
China,8,2,3,10,1
China,8,7,8,6,1
Peru,6,10,8,1,7
Croatia,10,8,3,3,8
Poland,9,6,3,7,1
Indonesia,8,6,2,4,7
Philippines,3,1,1,1,8
Czech Republic,9,2,1,2,6
Russia,3,10,8,4,7
Philippines,4,8,6,5,6
Colombia,5,10,1,10,9
Kazakhstan,9,3,3,6,9
Russia,4,6,5,2,4
Curacao,3,6,8,10,1
China,6,7,8,2,1
Bangladesh,10,9,10,8,5
Finland,2,10,7,9,2
Indonesia,2,7,1,10,5
Sweden,8,6,10,3,9
Peru,6,8,1,7,6
Indonesia,6,9,3,1,10
China,5,10,1,8,2
Belarus,9,4,1,1,7
Honduras,10,7,10,8,7
Czech Republic,10,5,4,3,3
Morocco,2,10,3,4,8
Indonesia,1,4,7,3,10
Guatemala,4,4,3,9,2
Ukraine,7,4,4,4,3
United States,1,8,2,1,6
Indonesia,8,7,4,10,4
Indonesia,1,10,10,2,3
China,6,2,3,1,7
Portugal,8,8,1,4,6
Denmark,7,6,3,6,6
Poland,6,7,9,2,9
China,3,10,9,4,3
Iraq,2,7,9,4,4
Ukraine,5,6,2,3,9
Czech Republic,10,1,1,8,10
China,10,6,2,7,2
Russia,4,2,1,7,5
Sweden,6,4,7,2,10
Serbia,5,6,9,3,2
Serbia,8,3,9,5,2
Indonesia,5,7,3,8,7
France,2,10,1,8,2
China,2,2,8,3,8
Indonesia,7,7,10,6,9
Armenia,5,6,3,1,3
Latvia,2,3,2,5,6
Indonesia,6,3,1,10,1
China,1,2,8,7,6
China,9,2,8,8,1
Brazil,3,9,3,8,8
Bangladesh,5,9,1,3,10
United States,5,9,2,9,4
Guatemala,10,4,1,4,5
Nigeria,3,5,6,4,8
China,2,7,10,3,9
Ukraine,6,9,9,6,4
China,2,6,5,4,8
Sierra Leone,2,10,5,9,9
Bosnia and Herzegovina,5,2,9,4,8
Colombia,1,8,3,3,7
Costa Rica,7,5,8,4,1
Philippines,4,10,4,10,5
Indonesia,10,9,5,8,6
Indonesia,8,6,6,9,3
Philippines,2,3,3,10,1
Indonesia,10,4,4,7,3
Vietnam,5,6,9,2,7
Poland,10,8,6,4,1
South Africa,10,6,4,10,7
Syria,3,4,2,10,6
Ukraine,2,5,3,4,5
Morocco,10,1,3,1,7
Indonesia,1,2,10,10,5
Netherlands,7,3,9,5,1
Croatia,3,1,10,10,1
Spain,4,4,10,2,2
China,8,3,10,3,10
South Africa,10,4,8,10,3
Greece,3,5,4,2,3
Philippines,4,4,7,2,2
Indonesia,6,2,9,1,6
Japan,9,9,7,3,5
Saudi Arabia,7,4,1,1,7
Philippines,9,4,6,3,7
Ukraine,10,8,6,9,10
China,2,3,9,4,1
China,1,2,8,9,1
China,8,7,1,7,6
Philippines,10,3,10,1,9
Greece,1,3,3,2,1
China,8,6,1,4,10
Poland,3,1,8,2,1
Indonesia,8,4,5,9,1
Brazil,7,7,5,6,10
Czech Republic,1,10,6,10,3
Poland,5,9,1,5,5
Poland,7,3,10,9,9
Greece,3,10,10,9,2
China,2,9,6,6,8
Indonesia,8,10,3,6,3
Japan,9,9,10,3,5
Indonesia,2,10,3,7,10
Portugal,5,5,8,10,2
Poland,2,3,1,4,10
Turkmenistan,7,2,10,6,2
Norway,9,8,10,6,1
Ukraine,8,3,2,7,7
Sweden,10,1,5,5,2
Philippines,1,2,8,3,3
Ukraine,8,3,4,6,6
Mozambique,5,5,9,2,4
France,1,9,2,5,7
China,3,6,4,10,6
China,10,5,1,6,3
Philippines,3,5,10,6,2
Moldova,9,9,10,10,3
Norway,2,5,5,9,5
Indonesia,8,7,5,4,1
Macedonia,6,3,6,2,8
China,4,7,4,7,2
Philippines,6,6,7,8,8
China,1,4,7,7,8
Greece,10,2,9,4,3
Mongolia,8,4,8,10,2
Venezuela,6,7,5,6,5
China,3,4,6,4,2
Latvia,4,2,6,4,3
Portugal,2,7,8,2,5
Bulgaria,3,8,5,10,5
China,1,5,2,10,4
Poland,3,2,5,4,9
Philippines,4,4,7,7,2
Nigeria,1,2,4,2,6
Colombia,9,6,4,1,9
Czech Republic,8,6,4,6,8
Brazil,10,8,7,6,2
Thailand,4,9,5,3,10
Croatia,1,7,6,9,10
Argentina,4,10,9,6,2
Finland,4,10,6,10,8
Thailand,3,1,9,8,1
Ukraine,10,4,8,1,10
Malaysia,2,8,1,5,8
Russia,5,6,8,2,3
South Africa,4,10,1,9,1
Greece,6,7,8,1,5
Philippines,9,1,6,3,9
Comoros,10,4,6,7,3
Czech Republic,5,6,1,2,6
Brazil,9,9,3,5,1
China,2,8,8,3,1
Luxembourg,5,5,2,10,9
China,1,3,9,9,4
China,2,4,10,1,5
Russia,2,8,8,6,8
Equatorial Guinea,7,7,7,4,5
Lithuania,1,4,5,1,10
Indonesia,8,8,4,9,1
Indonesia,9,2,1,6,2
Canada,4,8,7,3,1
Indonesia,10,9,3,1,3
Madagascar,10,5,6,2,5
Brazil,4,9,3,7,10
Armenia,5,5,8,4,4
Brazil,6,8,2,3,5
Poland,4,6,3,7,10
China,7,9,9,7,5
Norway,8,10,4,6,6
Poland,8,5,9,7,7
China,9,1,6,4,7
Suriname,10,10,9,1,9
Russia,3,7,5,2,3
Norway,6,5,8,10,8
United States,5,9,5,7,9
Portugal,8,10,9,4,8
Russia,7,10,10,1,1
Czech Republic,4,2,1,6,4
Armenia,2,3,6,8,5
Botswana,9,10,3,7,9
China,9,8,3,6,2
France,5,1,7,3,5
China,1,6,2,6,6
Philippines,2,6,1,2,7
Egypt,1,1,6,4,8
Indonesia,8,7,7,5,2
Russia,10,6,4,7,10
Argentina,7,10,3,6,2
Argentina,8,7,6,10,10
Indonesia,10,8,6,7,8
Indonesia,5,2,7,8,3
China,4,8,6,9,10
Georgia,10,1,6,3,5
Croatia,6,6,2,4,5
Kosovo,6,9,1,3,3
Indonesia,9,10,8,7,3
Indonesia,7,2,5,3,8
China,2,7,7,2,1
Sweden,7,1,9,4,9
Morocco,8,6,10,4,10
Sweden,1,10,3,10,10
Poland,3,10,5,9,10
Mali,1,9,8,5,9
Poland,8,6,10,7,6
Indonesia,5,2,5,10,4
Philippines,7,3,7,4,6
Japan,8,5,4,3,4
Philippines,5,3,1,3,1
Argentina,7,9,10,4,8
Norway,2,3,6,1,10
Russia,2,10,1,8,4
Peru,1,5,8,8,5
China,10,3,2,6,6
Indonesia,9,7,8,10,9
China,5,3,4,5,7
Pakistan,9,8,1,3,7
Nigeria,1,4,3,9,8
Russia,1,3,4,4,7
China,2,5,2,5,5
China,7,7,3,10,10
Thailand,5,5,7,3,3
Portugal,9,1,2,6,4
China,10,5,1,4,1
South Korea,3,7,7,5,8
Indonesia,4,5,5,2,10
Honduras,9,8,4,9,9
Canada,6,6,2,9,2
Brazil,7,9,5,1,1
Russia,7,3,4,2,6
China,3,7,1,6,7
Mongolia,1,1,9,9,4
Indonesia,1,9,10,7,10
Sweden,8,10,3,3,2
South Africa,10,6,1,7,1
Uganda,10,2,3,6,3
Philippines,2,1,4,10,7
Indonesia,3,5,3,8,10
Peru,8,5,8,10,2
China,6,6,1,10,4
Russia,6,5,5,6,4
Uruguay,7,3,4,7,5
France,1,1,7,8,2
Somalia,4,1,5,8,2
Peru,2,4,2,10,10
Indonesia,3,1,7,2,2
Portugal,9,4,7,3,7
Czech Republic,5,4,1,8,3
Poland,6,7,3,8,4
Israel,8,10,6,2,5
Poland,10,4,1,7,8
Czech Republic,8,2,3,10,10
China,8,3,8,3,6
Indonesia,5,3,1,5,6
Kazakhstan,6,7,3,3,4
Sweden,5,8,6,4,6
Moldova,1,10,5,5,9
Pakistan,5,5,3,9,2
Russia,3,9,4,5,6
Philippines,1,3,7,5,7
Sweden,9,4,10,10,7
Poland,4,3,1,8,6
Russia,2,3,2,4,7
Dominican Republic,8,1,4,5,7
China,9,9,1,1,2
Afghanistan,1,10,4,2,8
Portugal,7,8,2,1,2
Cameroon,7,4,3,2,5
Poland,9,6,9,5,5
Belarus,9,6,4,3,7
Colombia,9,5,6,10,9
Brazil,4,8,10,1,2
Portugal,5,2,8,2,6
Finland,5,8,5,7,5
Greece,5,8,10,6,2
Japan,1,6,10,8,9
China,10,3,2,2,5
Poland,7,1,9,10,9
Panama,7,3,5,5,5
Nigeria,10,2,10,4,8
Portugal,1,10,2,5,6
China,7,3,8,5,2
China,5,3,10,8,6
China,3,3,1,3,1
Malaysia,1,8,7,9,5
Azerbaijan,6,5,5,5,5
Indonesia,9,6,10,2,7
China,7,5,4,8,8
Netherlands,8,1,1,6,1
Greece,8,6,10,10,9
Japan,7,1,7,1,7
Philippines,9,8,10,8,3
Argentina,4,10,10,7,2
Russia,10,3,6,2,9
Brazil,2,5,6,4,9
Argentina,6,3,4,3,10
Indonesia,5,9,3,7,4
Costa Rica,3,3,2,4,1
Japan,5,10,10,6,7
France,1,5,3,5,10
Afghanistan,5,2,3,1,10
Russia,6,10,5,10,8
Sweden,1,10,1,8,4
Serbia,5,6,2,9,10
Ukraine,8,8,10,3,1
Poland,10,1,7,6,7
Chile,8,4,8,5,6
Czech Republic,2,8,5,7,1
Indonesia,4,3,6,3,3
Malaysia,1,9,8,8,7
Indonesia,7,9,5,4,2
Saint Lucia,7,8,8,9,5
Peru,2,2,10,4,10
Indonesia,9,2,1,1,6
Peru,1,7,2,7,4
United States,1,4,6,4,10
Armenia,3,1,10,7,10
Indonesia,7,4,2,1,6
Philippines,10,4,9,9,9
Poland,3,10,7,2,5
United States,1,4,8,8,2
Indonesia,6,1,5,9,5
Japan,1,4,3,6,6
Indonesia,6,7,9,9,7
Bolivia,1,1,1,1,5
China,5,6,1,6,3
Portugal,7,10,8,5,9
Russia,4,10,3,8,3
China,3,5,10,4,6
Indonesia,7,5,7,6,9
Japan,4,2,7,7,3
Philippines,1,10,8,5,1
Nicaragua,5,7,4,10,8
United States,3,5,9,5,10
China,5,6,5,1,6
Indonesia,8,6,4,2,5
Russia,6,9,7,5,7
China,9,4,10,4,9
Poland,6,4,1,5,9
Russia,2,7,5,7,4
Philippines,9,9,1,8,9
Indonesia,5,3,3,1,3
Brazil,8,10,7,5,5
South Africa,3,3,1,4,1
Panama,10,7,1,3,4
Philippines,1,6,7,1,2
Poland,9,3,8,4,1
Philippines,7,2,5,4,10
Estonia,1,9,1,7,8
Bangladesh,9,8,9,8,7
Bosnia and Herzegovina,9,10,2,9,5
Portugal,2,5,1,4,6
Sweden,3,6,2,10,9
China,5,6,2,1,8
China,8,5,6,1,9
United States,1,9,1,5,1
Russia,7,7,8,5,5
Azerbaijan,9,2,5,5,4
China,7,6,10,9,8
Guam,4,8,8,9,9
Russia,7,5,5,6,9
Sweden,2,5,4,4,1
Russia,3,6,6,1,7
Ghana,2,9,9,6,9
Peru,3,7,3,8,10
Ivory Coast,4,5,2,2,8
Argentina,1,7,5,7,4
Ethiopia,1,4,5,8,6
Argentina,6,2,8,9,6
Morocco,3,5,4,9,6
Czech Republic,7,4,6,5,1
Brazil,8,9,2,7,4
Ukraine,2,4,1,6,9
Albania,4,9,4,6,10
China,8,2,8,5,9
Russia,4,9,7,5,1
Peru,3,1,10,7,5
Poland,5,10,9,7,5
Vietnam,9,8,10,8,7
Portugal,1,6,7,5,1
Togo,6,6,9,3,3
China,10,3,8,4,2
French Polynesia,6,6,7,7,9
Russia,3,9,4,1,5
Ukraine,2,9,10,5,4
Indonesia,3,3,5,3,3
Armenia,9,8,1,5,4
Canada,5,5,9,3,4
Finland,10,3,5,10,8
Russia,2,8,3,1,10
France,3,10,10,8,2
China,9,10,8,1,2
Argentina,2,9,8,1,10
Brazil,9,2,6,4,2
China,7,9,5,4,2
China,3,4,9,10,1
Indonesia,5,2,10,8,10
Russia,7,3,8,2,1
Peru,1,9,9,5,1
France,8,10,6,4,7
Portugal,7,1,1,8,6
Russia,4,9,3,5,1
Armenia,7,6,8,5,6
Sweden,4,3,8,5,2
United States,8,9,7,4,2
Nigeria,7,10,4,6,8
China,5,10,5,9,4
Iran,7,1,3,3,8
Portugal,9,3,1,4,10
Indonesia,4,9,1,2,8
Brazil,9,5,2,2,2
Nigeria,6,9,7,4,9
Peru,3,5,9,2,2
Brazil,1,4,8,1,6
Portugal,1,10,5,2,10
Myanmar,10,10,7,3,5
France,5,8,5,10,9
Tanzania,7,7,8,4,10
Indonesia,10,9,9,3,10
Sweden,1,1,10,2,4
Afghanistan,4,3,6,10,1
Tunisia,4,10,10,1,6
Serbia,1,4,8,9,3
Brazil,9,8,7,4,8
China,6,4,4,8,4
South Africa,6,8,1,8,7
Spain,4,10,9,1,8
Czech Republic,3,2,8,5,1
Poland,2,1,7,10,9
Netherlands,8,9,8,4,2
China,8,1,8,7,8
China,1,4,7,4,4
Sweden,10,5,2,2,1
China,7,5,2,1,7
Canada,8,4,9,3,2
Cuba,4,10,2,2,6
Nigeria,10,8,7,5,10
Japan,9,2,2,9,4
Philippines,7,6,2,9,6
Brazil,5,5,6,8,7
China,2,6,7,1,10
Morocco,2,1,6,7,8
Ethiopia,2,10,10,6,7
